Date : 2022-06-20 14:59:09
Directory : c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots
Total : 184 files,  104852 codes, 3323 comments, 5732 blanks, all 113907 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_navbar.scss                                      | SCSS       |        194 |         46 |         55 |        295 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_pagination.scss                                  | SCSS       |         59 |          4 |         11 |         74 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_popover.scss                                     | SCSS       |        142 |          5 |         25 |        172 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_print.scss                                       | SCSS       |         84 |         33 |         25 |        142 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_progress.scss                                    | SCSS       |         37 |          1 |          6 |         44 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_reboot.scss                                      | SCSS       |        265 |        134 |         85 |        484 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_root.scss                                        | SCSS       |         13 |          3 |          4 |         20 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_spinners.scss                                    | SCSS       |         40 |          8 |          8 |         56 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_tables.scss                                      | SCSS       |        121 |         28 |         37 |        186 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_toasts.scss                                      | SCSS       |         38 |          0 |          7 |         45 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_tooltip.scss                                     | SCSS       |         93 |          5 |         18 |        116 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_transitions.scss                                 | SCSS       |         17 |          0 |          4 |         21 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_type.scss                                        | SCSS       |         82 |         20 |         24 |        126 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_utilities.scss                                   | SCSS       |         17 |          0 |          1 |         18 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\_variables.scss                                   | SCSS       |        757 |        100 |        268 |      1,125 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\bootstrap-grid.scss                               | SCSS       |         18 |          6 |          6 |         30 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\bootstrap-reboot.scss                             | SCSS       |          4 |          7 |          2 |         13 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\bootstrap.scss                                    | SCSS       |         37 |          6 |          2 |         45 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_alert.scss                                | SCSS       |         11 |          0 |          3 |         14 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_background-variant.scss                   | SCSS       |         16 |          2 |          4 |         22 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_badge.scss                                | SCSS       |         15 |          0 |          3 |         18 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_border-radius.scss                        | SCSS       |         52 |          2 |         10 |         64 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_box-shadow.scss                           | SCSS       |         17 |          2 |          2 |         21 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_breakpoints.scss                          | SCSS       |         69 |         44 |         11 |        124 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_buttons.scss                              | SCSS       |         83 |         11 |         14 |        108 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_caret.scss                                | SCSS       |         55 |          0 |          8 |         63 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_clearfix.scss                             | SCSS       |          7 |          0 |          1 |          8 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_deprecate.scss                            | SCSS       |          5 |          5 |          1 |         11 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_float.scss                                | SCSS       |         12 |          1 |          2 |         15 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_forms.scss                                | SCSS       |        152 |         15 |         26 |        193 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_gradients.scss                            | SCSS       |         34 |          7 |          5 |         46 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_grid-framework.scss                       | SCSS       |         49 |          8 |         10 |         67 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_grid.scss                                 | SCSS       |         34 |         10 |          8 |         52 |
| c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\scss\bootstrap\mixins\_hover.scss                                | SCSS       |         23 |         10 |          5 |         38 |
