"filename", "language", "HTML", "JavaScript", "CSS", "XML", "SCSS", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\scss\config\_variables.scss", "SCSS", 0, 0, 0, 0, 27, 0, 0, 7, 4, 38
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\assets\scss\styles.scss", "SCSS", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\battery-level-indicator-main\README.md", "Markdown", 0, 0, 0, 0, 0, 11, 0, 0, 4, 15
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\battery-level-indicator-main\assets\csss\styles.css", "CSS", 0, 0, 177, 0, 0, 0, 0, 17, 29, 223
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\battery-level-indicator-main\assets\jss\main.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 6, 6, 58
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\battery-level-indicator-main\assets\scss\base\_base.scss", "SCSS", 0, 0, 0, 0, 11, 0, 0, 1, 1, 13
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\battery-level-indicator-main\assets\scss\components\_battery.scss", "SCSS", 0, 0, 0, 0, 122, 0, 0, 5, 10, 137
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\battery-level-indicator-main\assets\scss\components\_breakpoints.scss", "SCSS", 0, 0, 0, 0, 15, 0, 0, 4, 2, 21
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\battery-level-indicator-main\assets\scss\config\_variables.scss", "SCSS", 0, 0, 0, 0, 27, 0, 0, 7, 4, 38
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\battery-level-indicator-main\assets\scss\styles.scss", "SCSS", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\battery-level-indicator-main\index.html", "HTML", 31, 0, 0, 0, 0, 0, 0, 4, 6, 41
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\chargelist.js", "JavaScript", 0, 2371, 0, 0, 0, 0, 0, 0, 76, 2447
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\chargem.js", "JavaScript", 0, 110, 0, 0, 0, 0, 0, 87, 37, 234
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\csss\styles.css", "CSS", 0, 0, 177, 0, 0, 0, 0, 17, 29, 223
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\detail.html", "HTML", 387, 0, 0, 0, 0, 0, 0, 84, 57, 528
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\index.html", "HTML", 323, 0, 0, 0, 0, 0, 0, 17, 54, 394
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\jss\main.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 6, 6, 58
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\locator.html", "HTML", 96, 0, 0, 0, 0, 0, 0, 5, 42, 143
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\login.html", "HTML", 212, 0, 0, 0, 0, 0, 0, 0, 34, 246
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\main.html", "HTML", 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\main.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 6, 6, 57
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\mapstyle.css", "CSS", 0, 0, 91, 0, 0, 0, 0, 0, 1, 92
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\paycss.css", "CSS", 0, 0, 126, 0, 0, 0, 0, 0, 22, 148
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\payment.html", "HTML", 138, 0, 0, 0, 0, 0, 0, 33, 15, 186
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\script.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 5, 14
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\showslot.html", "HTML", 284, 0, 0, 0, 0, 0, 0, 54, 110, 448
"c:\Users\DHAIRYASHIL\Desktop\PROJECT_3 X\Charge Slots\test\css\bootstrap.min.css", "CSS", 0, 0, 9420, 0, 0, 0, 0, 7, 1202, 10629
